subject_id,accuracy
48,0.3
82,0.4
58,0.425
69,0.425
75,0.425
7,0.475
63,0.475
14,0.525
45,0.525
71,0.525
80,0.525
68,0.525
73,0.525
86,0.525
59,0.55
72,0.55
76,0.55
49,0.55
79,0.55
50,0.55
84,0.55
43,0.575
13,0.6
30,0.6
67,0.6
4,0.6
22,0.6
8,0.6
18,0.625
11,0.625
78,0.65
57,0.65
65,0.65
6,0.65
9,0.65
5,0.675
20,0.675
66,0.675
3,0.675
10,0.675
54,0.675
24,0.7
23,0.7
77,0.7
26,0.725
12,0.725
70,0.725
25,0.725
83,0.75
62,0.75
19,0.75
60,0.775
81,0.775
21,0.8
15,0.8
16,0.8
17,0.8
37,0.825
2,0.825
29,0.825
85,0.825
46,0.85
1,0.875
52,0.9
38,0.9
31,0.925
47,0.925
